Prompt ID,Capability,Subtype,Difficulty,Difficulty Status,Prompt,Expected Behavior,Primary Assertion,Fixture Conditions,Reason for Inclusion,Primary Semantic Behavior,Faults Potentially Sensitive To,Source / Design Rationale,Revision Status,Revision Note
SFC-036,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return a JSON object with a top-level field ""customer"" containing a nested object with fields ""id"" (integer) = 42 and ""active"" (boolean) = true. Output only JSON.",JSON parses; customer.id == 42; customer.active == true (boolean type),A 'customer' object is nested one level deep containing the two specified fields.,"Specific values (42, true) needed to instantiate the nested object.","One-level nesting, anchors the subtype.",One-level nested-schema accuracy.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-036, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-037,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with a top-level ""order"" object containing ""item"" (string) = ""Widget"" and ""quantity"" (integer) = 3. Output only JSON.","JSON parses; order.item == ""Widget""; order.quantity == 3 (integer type)",An 'order' object is nested one level deep containing the two specified fields.,"Specific values ('Widget', 3) needed to instantiate the nested object.",Different field-type mix from SFR-036 at the same nesting depth.,One-level nested-schema accuracy with a different type mix.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-037, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-038,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with a top-level ""company"" object containing an ""address"" object with fields ""city"" = ""Denver"" and ""zip"" = ""80202"".","JSON parses; company.address.city == ""Denver""; company.address.zip == ""80202""",An 'address' object is nested two levels deep (company > address) with both fields.,"Specific values ('Denver', '80202') needed to instantiate the nested object.","Two-level nesting, one level deeper than SFR-036/037.",Two-level nested-schema accuracy.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-038, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-039,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON structured as: a top-level field ""a"" containing ""b"" containing ""c"" equal to 1.",JSON parses; a.b.c == 1,A three-level nesting chain (a > b > c) is correctly constructed.,Specific value (1) needed to instantiate the innermost field.,Three-level-deep nesting.,Deep nested-schema accuracy.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-039, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-040,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with a top-level ""ticket"" object containing an ""assignee"" object with three fields: ""name"" = ""Dana Kim"", ""team"" = ""Support"", and ""active"" (boolean) = true.","JSON parses; ticket.assignee.name == ""Dana Kim""; ticket.assignee.team == ""Support""; ticket.assignee.active == true",An 'assignee' object is nested two levels deep with all three sibling fields present.,"Specific values ('Dana Kim', 'Support', true) needed to instantiate the nested object.","Two-level nesting with three sibling fields, more fields to track correctly than SFR-038.",Two-level nested-schema accuracy with more sibling fields.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-040, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-041,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""count"" as a number (not a string) equal to 7. Output only JSON.",typeof(count) == number AND count == 7,"Field 'count' is JSON type number, not a string.",Specific value (7) needed to instantiate the field.,"Isolates numeric-type-strictness, rejecting ""7"" as a string.",Numeric type-strictness.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-041, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-042,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""in_stock"" as a boolean (not a string) equal to false. Output only JSON.",typeof(in_stock) == boolean AND in_stock == false,"Field 'in_stock' is JSON type boolean, not a string.",Specific value (false) needed to instantiate the field.,"Boolean-type variant, rejecting ""false"" as a string.",Boolean type-strictness.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-042, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-043,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""age"" as an integer (not a float or string) equal to 30.","typeof(age) == integer AND age == 30 (not 30.0 or ""30"")","Field 'age' is JSON type integer, not a float or string.",Specific value (30) needed to instantiate the field.,"Distinguishes integer from float representation, a finer type distinction than boolean-vs-string.",Integer-vs-float type-strictness.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-043, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-044,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with a field ""first_name"" = ""Alex"" and a field ""middle_name"" explicitly set to null (not an empty string).","middle_name is JSON null type, not an empty string """"","Field 'middle_name' is JSON type null, not an empty string.","Field 'first_name' = 'Alex' is supporting context, not itself scored.","Tests explicit-null handling, a type distinction rather than a value-correctness distinction.",Null-vs-empty-string type-strictness.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-044, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-045,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""num_items"" representing a whole-number count of 4, expressed strictly as an integer with no decimal point.","typeof(num_items) == integer AND num_items == 4, not 4.0","Field 'num_items' is JSON type integer with no decimal point, not an implicit float.",Specific value (4) needed to instantiate the field.,Requires suppressing a plausible float-formatting default (4.0) in favor of strict integer form.,Integer-vs-implicit-float type-strictness.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-045, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-046,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return a JSON object with field ""status"" whose value must be exactly one of: ""open"", ""closed"", ""pending"". Set it to ""pending"". Output only JSON.","status is a member of {open, closed, pending} AND equals ""pending""","Field 'status' is a member of the closed set {open, closed, pending}.",The directly-instructed target member ('pending') needed to instantiate the field.,"Single-field enum compliance, anchors the subtype.",Direct-instruction enum compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-046, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-047,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"A ticket was informally marked 'urgent' by the agent, but our system's severity field only accepts the values 'low', 'medium', 'high'. Return JSON with field 'severity' set to the correct enum equivalent of 'urgent'. Output only JSON.","JSON parses; severity is a member of {low, medium, high} AND equals 'high' (the closest valid member for a non-member synonym)","Field 'severity' is a member of the closed set {low, medium, high}, correctly normalized from a non-member synonym.","The scenario detail ('urgent', informally used) needed to instantiate the field.",Two independent enum-membership fields raise difficulty over a single enum field while staying entirely within the enum-constraint mechanism.,Multi-field enum-membership compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)",Rewritten from SFR-047 to remove an unrelated flat-integer field that was not itself an enum check (Problem A).,MODIFIED,Removed the unrelated ticket_id fixture field; redesigned the Moderate difficulty driver around a single enum-membership assertion under terminology-normalization pressure.
SFC-048,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"A customer says their issue is completely blocking their work and needs attention right away. Return JSON with a ""severity"" field, exactly one of: ""low"", ""medium"", ""high"", reflecting this description.","severity is a member of the enum AND equals ""high"" (inferred, not copied verbatim)","Field 'severity' is a member of the closed set {low, medium, high}, correctly inferred from a description.",The descriptive scenario needed to instantiate and infer the field's value.,Requires inferring the correct enum member from a description.,Inferred-value enum compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-048, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-049,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""region"" restricted to exactly one of: ""north"", ""south"", ""east"", ""west"", ""central"", ""northeast"", set to ""northeast"".","region is a member of the 6-value enum AND equals ""northeast""",Field 'region' is a member of the closed 6-value set.,The directly-instructed target member ('northeast') needed to instantiate the field.,A larger closed vocabulary raises the chance of an invented or wrong member being selected.,Large-vocabulary enum compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-049, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-050,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"A ticket is confirmed to be neither open nor pending. Return JSON with a ""status"" field, exactly one of ""open"", ""closed"", ""pending"", consistent with that fact.","status is a member of the enum AND equals ""closed"" (derived by exclusion)","Field 'status' is a member of the closed set {open, closed, pending}, correctly derived by exclusion.",The exclusionary scenario detail needed to instantiate and derive the field's value.,Requires deriving the correct enum member by process of elimination from a negative statement.,Elimination-derived enum compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-050, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-051,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"A customer ordered 3 items at $4 each. Return JSON with field ""total"" (number) equal to the correct total cost.","JSON parses; total == 12 (computed, not merely present)",The computed value of 'total' is numerically correct.,Unit price and quantity (3 x $4) needed to instantiate the computation.,"Simplest single-step multiplication case, anchors the subtype.",Structured-field computed-value accuracy.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-051, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-052,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"A shipment left the warehouse on day 2 and takes 5 days to arrive. Return JSON with field ""arrival_day"" (integer) equal to the correct arrival day.",arrival_day == 7 (computed),The computed value of 'arrival_day' is numerically correct.,Departure day and transit time (day 2 + 5 days) needed to instantiate the computation.,"Additive rather than multiplicative arithmetic, a distinct operation from SFR-051.",Structured-field computed-value accuracy (additive).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-052, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-053,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with a field ""ratio"" equal to 3 divided by 4, expressed as a number.",ratio == 0.75 (computed),The computed value of 'ratio' is numerically correct.,"The two operands (3, 4) needed to instantiate the division.","Division rather than multiplication or addition, a third distinct arithmetic operation.",Structured-field computed-value accuracy (division).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-053, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-054,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"An item normally costs $80 and is marked down by 25%. Return JSON with field ""sale_price"" (number) equal to the correct sale price.",sale_price == 60 (computed),The computed value of 'sale_price' is numerically correct.,"Original price and discount rate ($80, 25%) needed to instantiate the computation.","Percentage-discount computation, requiring one derived intermediate quantity.",Structured-field computed-value accuracy (percentage).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-054, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-055,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"A service costs $14.995 per unit for 2 units. Return JSON with field ""total"" (number) equal to the total cost, rounded to exactly 2 decimal places.",total == 29.99 (computed and correctly rounded),The computed value of 'total' is numerically correct and correctly rounded.,Unit price and quantity ($14.995 x 2) needed to instantiate the computation.,Adds a rounding-precision requirement on top of the arithmetic step.,Structured-field computed-value accuracy with rounding.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-055, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-056,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""tags"" as an array of exactly 3 strings: ""new"", ""sale"", ""limited"", in that order. Output only JSON.",array length == 3; exact values and order,"Array 'tags' has the correct length, values, and order.",The specific string elements needed to instantiate the array.,Simplest string-array case.,Array length/value/order compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-056, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-057,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""scores"" as an array of exactly 4 integers: 10, 20, 30, 40, in that order.",array length == 4; exact integer values and order,"Array 'scores' has the correct length, values, and order.",The specific integer elements needed to instantiate the array.,"Numeric rather than string elements, a distinct element type from SFR-056.",Array length/value/order compliance with numeric elements.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-057, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-058,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return a JSON array (not an object) containing exactly two string elements: ""Mon"" and ""Tue"".",top-level JSON type is array (not object); length == 2; exact values/order,The top-level JSON value is itself an array (not an object) of correct length/order.,The specific string elements needed to instantiate the array.,The array is the root value rather than nested under a key.,Root-level array compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-058, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-059,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with field ""attendees"" as an array of exactly 3 unique names, with no name repeated: ""Sam"", ""Lee"", ""Jo"".",array length == 3; all elements unique; exact values,Array 'attendees' has the correct length and all elements are unique.,The specific name elements needed to instantiate the array.,Adds a uniqueness constraint on top of length and value correctness.,Array uniqueness compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-059, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-060,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Meetings are scheduled on Monday, Wednesday, and Friday this week. Return JSON with field ""meeting_days"" as an array containing exactly one entry per meeting day mentioned, in the order mentioned.","array length == 3; values == [""Monday"",""Wednesday"",""Friday""]; order preserved","Array 'meeting_days' has the correct (inferred) length, values, and order.",The mentioned day names in the scenario needed to instantiate and infer the array.,The required array length must be derived from how many days are mentioned in the prompt.,Inferred-length array compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-060, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-061,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,Easy,Provisional -- calibrate using healthy-baseline pass rate,What is the capital of France? Answer with only the city name.,exact match (case-insensitive) to 'Paris',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"Canonical, stable, single-answer fact anchors the subtype.",Non-numeric common-knowledge recall.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-061, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-062,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,Easy,Provisional -- calibrate using healthy-baseline pass rate,"In one word, what do you call a shape with three sides?",exact match to 'triangle' (plural accepted),The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,Simple class/definitional lookup fact.,Non-numeric definitional recall.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-063, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-063,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,"In one word, what is the study of celestial objects called?",exact match to 'astronomy',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"Second class/definitional lookup fact, different domain from SFR-063.",Non-numeric definitional recall.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-066, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-064,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,Hard,Provisional -- calibrate using healthy-baseline pass rate,"In one word, what do you call the leader of a country who inherits the position rather than being elected?",exact match to 'monarch',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,Requires selecting the correct precise term from a description.,Non-numeric definitional recall from a description.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-067, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-065,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,Hard,Provisional -- calibrate using healthy-baseline pass rate,What is the collective noun for a group of lions? Answer with only the word.,exact match to 'pride',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A specialized collective-noun fact, less commonly known than SFR-061 through SFR-066.",Non-numeric specialized-vocabulary recall.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-068, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-066,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Easy,Provisional -- calibrate using healthy-baseline pass rate,How many days are in a standard (non-leap) year? Answer with only the number.,exact match to '365',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"An established-count numeric fact, reclassified out of Common Fact Recall into Numerical Fact Recall (Problem C).",Numeric-answer factual recall (established count).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)",Reclassified from Common Fact Recall to Numerical Fact Recall; prompt content unchanged.,KEEP,No prompt or expected-behavior change in this pass.
SFC-067,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Easy,Provisional -- calibrate using healthy-baseline pass rate,How many minutes are in a standard hour? Answer with only the number.,exact match to '60',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A directly recalled standardized time-unit fact, replacing a computed unit-multiplication case (Problem C).",Direct numeric-fact recall (time-unit standard).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Replaces SFR-069's 2-hours-to-minutes computation with a direct, non-computed standardized fact.",KEEP,No prompt or expected-behavior change in this pass.
SFC-068,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Easy,Provisional -- calibrate using healthy-baseline pass rate,How many sides does a hexagon have? Answer with only the number.,exact match to '6',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"Direct geometric numeric fact, no computation required.",Direct numeric-fact recall (geometry).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-070, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-069,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,What HTTP status code indicates 'Not Found'? Answer with only the number.,exact match to '404',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A standardized protocol value, reclassified out of Common Fact Recall into Numerical Fact Recall (Problem C).",Numeric-answer factual recall (standardized protocol value).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)",Reclassified from Common Fact Recall to Numerical Fact Recall; prompt content unchanged.,KEEP,No prompt or expected-behavior change in this pass.
SFC-070,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,What is the standard port number for HTTPS traffic? Answer with only the number.,exact match to '443',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A second standardized protocol value, reclassified out of Common Fact Recall (Problem C).",Numeric-answer factual recall (standardized protocol value).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)",Reclassified from Common Fact Recall to Numerical Fact Recall; prompt content unchanged.,KEEP,No prompt or expected-behavior change in this pass.
SFC-071,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,What is the freezing point of water in Celsius? Answer with only the number.,exact match to '0',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,Physical-constant fact from a domain distinct from geometry or time.,Direct numeric-fact recall (physical constant).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-071, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-072,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,How many continents are there on Earth? Answer with only the number.,exact match to '7',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,Geography-domain count fact.,Direct numeric-fact recall (geography count).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Original SFR-072, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-073,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Moderate,Provisional -- calibrate using healthy-baseline pass rate,How many meters are in one kilometer? Answer with only the number.,exact match to '1000',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A directly recalled standardized unit-definition fact, replacing an applied unit-conversion computation (Problem C).",Direct numeric-fact recall (unit-definition standard).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)","Replaces SFR-073's 3-km-to-meters computation with a direct, non-computed standardized definition.",KEEP,No prompt or expected-behavior change in this pass.
SFC-074,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,Hard,Provisional -- calibrate using healthy-baseline pass rate,What is the boiling point of water in Celsius at sea level? Answer with only the number.,exact match to '100',The returned answer exactly matches the single established fact named in Expected Behavior.,N/A -- no instantiation values beyond the question itself; the question IS the fixture.,"A physical-constant fact (pairing naturally with SFR-071's freezing point), replacing a pure math-operation item (Problem C).",Direct numeric-fact recall (physical constant).,"Hypothesized sensitivity (design-basis, not empirically validated) -- F2 (checkpoint/version regression), F3 (tokenizer-checkpoint mismatch), F8 (stale/wrong LoRA adapter)",Replaces SFR-074's square-root computation with a direct physical-constant fact.,KEEP,No prompt or expected-behavior change in this pass.
